anio,ccaa,provincia,licencias_expedidas,importe_expedidas,lic_vigentes_anteriores
2006,Cataluña,Barcelona,40652.0,770975.0,0.0
2006,País Vasco,Vizcaya,18754.0,158507.88,0.0
2006,Castilla y León,Burgos,4622.0,118853.0,0.0
2006,Extremadura,Cáceres,31612.0,0.0,0.0
2006,Andalucía,Cádiz,27063.0,409350.32,43782.0
2006,Cantabria,Cantabria,7519.0,105740.22,4943.0
2006,C. Valenciana,Castellón,21726.0,215088.0,835.0
2006,Castilla-La Mancha,Ciudad Real,28510.0,689816.0,5139.0
2006,Andalucía,Córdoba,47737.0,841314.46,67486.0
2006,Castilla-La Mancha,Cuenca,28650.0,625495.0,4068.0
2006,Cataluña,Gerona,14503.0,292405.0,0.0
2006,Andalucía,Granada,37137.0,577839.35,60851.0
2006,Castilla-La Mancha,Guadalajara,17368.0,505214.0,2894.0
2006,Andalucía,Huelva,29068.0,424453.57,41108.0
2006,Aragón,Huesca,9011.0,197238.0,0.0
2006,Baleares,Baleares,14614.0,193301.0,13973.0
2006,Andalucía,Jaén,35431.0,521694.29,52246.0
2006,La Rioja,La Rioja,11301.0,270856.9,2590.0
2006,Canarias,Las Palmas,15883.0,321532.84,0.0
2006,Castilla y León,León,6399.0,159432.0,0.0
2006,Cataluña,Lérida,13001.0,259155.0,0.0
2006,Madrid,Madrid,23293.0,0.0,14994.0
2006,Andalucía,Málaga,30957.0,495833.01,52032.0
2006,Murcia,Murcia,16999.0,364953.36,2785.0
2006,Navarra,Navarra,24161.0,289932.0,0.0
2006,Castilla y León,Palencia,4301.0,105571.0,0.0
2006,Castilla y León,Salamanca,6072.0,154511.0,0.0
2006,Canarias,Tenerife,12783.0,366874.93,0.0
2006,Castilla y León,Segovia,2008.0,51797.0,0.0
2006,Andalucía,Sevilla,53499.0,743498.39,77997.0
2006,Castilla y León,Soria,2369.0,67551.0,0.0
2006,Cataluña,Tarragona,11938.0,238115.0,0.0
2006,Aragón,Teruel,7125.0,163763.1,0.0
2006,Castilla-La Mancha,Toledo,44363.0,1067330.0,7073.0
2006,C. Valenciana,Valencia,33062.0,300584.0,13099.0
2006,Castilla y León,Valladolid,3612.0,82731.0,0.0
2006,Castilla y León,Zamora,4110.0,4110.0,0.0
2006,Aragón,Zaragoza,30886.0,923240.0,0.0
2005,Galicia,La Coruña,19136.0,489818.43,
2005,Galicia,Lugo,13645.0,341415.63,
2005,Galicia,Orense,12705.0,318313.81,
2005,Galicia,Pontevedra,15704.0,403052.08,
2005,País Vasco,Álava,7871.0,69024.16,
2005,País Vasco,Guipúzcoa,17912.0,182985.64,
2005,País Vasco,Vizcaya,18715.0,196507.5,
2005,Aragón,Huesca,14000.0,368340.0,
2005,Aragón,Teruel,10373.0,272913.63,
2005,Aragón,Zaragoza,24560.0,646173.6,
2005,Cataluña,Barcelona,40797.0,751970.0,
2005,Cataluña,Gerona,14598.0,286160.0,
2005,Cataluña,Lérida,12950.0,250250.0,
2005,Cataluña,Tarragona,11916.0,231040.0,
2005,Castilla y León,Burgos,5090.0,,
2005,Castilla y León,León,7151.0,,
2005,Castilla y León,Palencia,4528.0,,
2005,Castilla y León,Salamanca,5565.0,,
2005,Castilla y León,Segovia,2229.0,,
2005,Castilla y León,Soria,3182.0,,
2005,Castilla y León,Valladolid,4528.0,,
2005,Castilla y León,Zamora,5111.0,,
2005,Castilla-La Mancha,Albacete,20819.0,455926.16,8498.0
2005,Castilla-La Mancha,Ciudad Real,26796.0,638444.84,7825.0
2005,Castilla-La Mancha,Cuenca,33668.0,710211.29,5204.0
2005,Castilla-La Mancha,Guadalajara,17646.0,490390.8,3625.0
2005,Castilla-La Mancha,Toledo,46073.0,1051364.22,8546.0
2005,C. Valenciana,Alicante,15110.0,181659.0,
2005,C. Valenciana,Castellón,21726.0,215575.49,
2005,C. Valenciana,Valencia,33082.0,451284.65,
2005,Extremadura,Badajoz,33823.0,815534.59,34334.0
2005,Extremadura,Cáceres,20098.0,571688.44,20366.0
2005,Andalucía,Almería,26546.0,456107.28,40301.0
2005,Andalucía,Cádiz,24746.0,373018.45,40344.0
2005,Andalucía,Córdoba,44965.0,581149.23,62632.0
2005,Andalucía,Granada,37307.0,555503.53,53402.0
2005,Andalucía,Huelva,28400.0,358086.53,36575.0
2005,Andalucía,Jaén,33508.0,465241.73,46704.0
2005,Andalucía,Málaga,31084.0,465915.63,46467.0
2005,Andalucía,Sevilla,51956.0,670205.73,71123.0
2005,Canarias,Las Palmas,17478.0,352313.7,
